gene,upstream_bp,downstream_bp,window_length_bp,outside_n_seeds,outside_mean_retention,outside_median_retention,outside_sd_retention,outside_min_retention,outside_max_retention,outside_fraction_seeds_ge_0p7,inside_n_seeds,inside_mean_retention,inside_median_retention,inside_sd_retention,inside_min_retention,inside_max_retention,inside_fraction_seeds_ge_0p7,contains_full_minor_motif,passes_mean_criterion,passes_median_criterion
CELSR2,175.0,8.0,184.0,8,0.22025040410189342,0.236093922977539,0.0655657403806711,0.1066430310130644,0.3121000274222467,0.0,8,0.012911598034236981,0.012381336695536573,0.0066610507945295706,0.0025528947772955855,0.023589679400262378,0.0,True,False,False
CELSR2,175.0,10.0,186.0,8,0.25008986355297413,0.23212107116217293,0.0792433289214697,0.12901813742242516,0.3486941042863941,0.0,8,0.011076149274453894,0.010906680672273197,0.0072751045506621,0.0015597463996562982,0.02062853536005295,0.0,True,False,False
CELSR2,175.0,15.0,191.0,8,0.24348258534268102,0.21078912641600064,0.07519394652015593,0.15880503173729218,0.3706270820127938,0.0,8,0.005600285459989054,0.004307587438522291,0.00378913134060645,0.002434960033145977,0.013291209816440327,0.0,True,False,False
CELSR2,175.0,20.0,196.0,8,0.23754355414828826,0.24388817418082281,0.07087499884729252,0.15566655129769444,0.35452378933160594,0.0,8,0.01657578384470202,0.018397975667236777,0.011186334929129297,0.0010146222249681263,0.033606236833676535,0.0,True,False,False
CELSR2,175.0,25.0,201.0,8,0.23002497621296514,0.2219822364352683,0.09878746701652626,0.12265870157069238,0.385123067886163,0.0,8,0.010218718946634953,0.009176935517124916,0.007763303156107737,0.0009249825899046727,0.022355863142647883,0.0,True,False,False
CELSR2,175.0,30.0,206.0,8,0.20307019752310193,0.22160215175068176,0.0895697813338918,0.08648578276589963,0.31244101356773596,0.0,8,0.016302651765322584,0.014803112117063283,0.01355016564421706,0.00036560807003658104,0.042183383569645204,0.0,True,False,False
CELSR2,175.0,35.0,211.0,8,0.2047103386116925,0.20904475257815694,0.08113220797454948,0.09476289997703007,0.3368261838526057,0.0,8,0.012881229074865795,0.013281434765411007,0.006002689601775925,0.004923644298362257,0.01969520619354358,0.0,True,False,False
CELSR2,175.0,40.0,216.0,8,0.23417791917697828,0.20591856955283364,0.09940591978863998,0.13149319020778766,0.3989792626709245,0.0,8,0.014610884501448405,0.012377769428619411,0.011212250777526174,0.002499255340307092,0.0327886639711891,0.0,True,False,False
CELSR2,175.0,45.0,221.0,8,0.184365514616673,0.1815088043538941,0.06825458586363395,0.09554841340456713,0.2673857971228633,0.0,8,0.013572869767654278,0.014258150712993155,0.006382609605304736,0.003246439224586621,0.021962873789025436,0.0,True,False,False
CELSR2,175.0,50.0,226.0,8,0.19654934775972435,0.20780440021527913,0.07007482176174193,0.09083630981521836,0.29825767082375465,0.0,8,0.011907839283054783,0.007101868312082567,0.010800554767898917,0.0010502421614354952,0.025499832435564,0.0,True,False,False
