gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
CLEC19A,ENSG00000261210,bottom500,0.0,5.3902061059133694e-05,-1.0,-3.812755564050166
ZNF865,ENSG00000261221,,8.3,0.0160403167924354,0.9242792860618816,-1.792087945459276
BOP1,ENSG00000261236,,19.4,0.0362329118643249,1.290034611362518,-1.43969979465224
GOLGA8T,ENSG00000261247,,0.7,0.0003556470408952,-0.0969100130080564,-3.341371445816381
MUC22,ENSG00000261272,,0.0,2.534197344907366e-06,-1.0,-3.989131263962071
FIGNL2,ENSG00000261308,,1.0,0.0010534431511982,0.041392685158225,-2.9380038053295636
SMIM47,ENSG00000261341,,0.2,0.0069274558908172,-0.5228787452803375,-2.1532018716450767
PECAM1,ENSG00000261371,,20.9,0.1278371341147244,1.3222192947339193,-0.8930033820231871
TP53TG3B,ENSG00000261509,,0.0,1.270940624182344e-06,-1.0,-3.994515156190296
TMEM249,ENSG00000261587,,0.3,0.1624223124122585,-0.3979400086720376,-0.7890870070400685
TPBGL,ENSG00000261594,,0.1,0.0004799503923526,-0.6989700043360187,-3.23660915341797
GAN,ENSG00000261609,,1.0,0.0237807019844205,0.041392685158225,-1.6219529110653113
GOLGA6L7,ENSG00000261649,,0.0,0.0001904319617675,-1.0,-3.536955591637772
PIERCE2,ENSG00000261652,,1.0,0.0254079609856228,0.041392685158225,-1.593324255936848
LY6L,ENSG00000261667,,0.0,7.726702850619564e-05,-1.0,-3.751372035236241
SCRT1,ENSG00000261678,,0.0,2.2663458399384636e-05,-1.0,-3.911284794885804
HPR,ENSG00000261701,top500,758.6,0.5512168119224441,2.880070084064067,-0.2585987638896358
ENSG00000261717,ENSG00000261717,,0.3,0.0407309279129847,-0.3979400086720376,-1.389010750302087
GOLGA8S,ENSG00000261739,,0.0,3.731590517608262e-06,-1.0,-3.9840889630113687
BOLA2-SMG1P6,ENSG00000261740,,8.9,0.0188189045195007,0.9542425094393248,-1.7231040145996517
TCF24,ENSG00000261787,,0.0,0.0004935240667705,-1.0,-3.226561666172385
ENSG00000261793,ENSG00000261793,,0.0,5.212852820654114e-05,-1.0,-3.8177893363683655
GOLGA8H,ENSG00000261794,,0.2,0.0014323907763344,-0.5228787452803375,-2.814630470757825
