model	construct	start_offset	end_offset	gene	rna_tss	intact_T_rna_tss	loss_vs_intact_T
ALL_FOLDS	intact_T			SORT1	0.051347648355177834	0.051347648355177834	0.0
ALL_FOLDS	intact_T			PSRC1	0.06303837998036711	0.06303837998036711	0.0
ALL_FOLDS	intact_T			CELSR2	0.016310516641207223	0.016310516641207223	0.0
ALL_FOLDS	H1	-178.0	-167.0	SORT1	0.05085724757160732	0.051347648355177834	0.000490400783570516
ALL_FOLDS	H1	-178.0	-167.0	PSRC1	0.05654734724951488	0.06303837998036711	0.006491032730852234
ALL_FOLDS	H1	-178.0	-167.0	CELSR2	0.015613197288093893	0.016310516641207223	0.0006973193531133303
ALL_FOLDS	H2	-152.0	-141.0	SORT1	0.05113020316976751	0.051347648355177834	0.00021744518541032265
ALL_FOLDS	H2	-152.0	-141.0	PSRC1	0.05899943421033584	0.06303837998036711	0.00403894577003127
ALL_FOLDS	H2	-152.0	-141.0	CELSR2	0.015885689565367202	0.016310516641207223	0.0004248270758400209
ALL_FOLDS	H3	-87.0	-76.0	SORT1	0.05183937971896155	0.051347648355177834	-0.0004917313637837137
ALL_FOLDS	H3	-87.0	-76.0	PSRC1	0.06623808636365683	0.06303837998036711	-0.003199706383289716
ALL_FOLDS	H3	-87.0	-76.0	CELSR2	0.016772162712273282	0.016310516641207223	-0.00046164607106605887
ALL_FOLDS	H4	-61.0	-50.0	SORT1	0.05143470253885701	0.051347648355177834	-8.705418367917911e-05
ALL_FOLDS	H4	-61.0	-50.0	PSRC1	0.06713465917469098	0.06303837998036711	-0.004096279194323871
ALL_FOLDS	H4	-61.0	-50.0	CELSR2	0.01636241265274135	0.016310516641207223	-5.189601153412701e-05
ALL_FOLDS	H5	-37.0	-26.0	SORT1	0.04990988947903624	0.051347648355177834	0.001437758876141594
ALL_FOLDS	H5	-37.0	-26.0	PSRC1	0.04154834976483586	0.06303837998036711	0.021490030215531253
ALL_FOLDS	H5	-37.0	-26.0	CELSR2	0.01389684992938264	0.016310516641207223	0.0024136667118245837
ALL_FOLDS	C/EBP	-1.0	8.0	SORT1	0.049819644244647986	0.051347648355177834	0.0015280041105298486
ALL_FOLDS	C/EBP	-1.0	8.0	PSRC1	0.04175728125089416	0.06303837998036711	0.021281098729472953
ALL_FOLDS	C/EBP	-1.0	8.0	CELSR2	0.014212567923788456	0.016310516641207223	0.0020979487174187673
ALL_FOLDS	H6	50.0	61.0	SORT1	0.05126306151627183	0.051347648355177834	8.458683890600477e-05
ALL_FOLDS	H6	50.0	61.0	PSRC1	0.06250600274852428	0.06303837998036711	0.0005323772318428371
ALL_FOLDS	H6	50.0	61.0	CELSR2	0.015944911307004733	0.016310516641207223	0.0003656053342024901
FOLD_0	intact_T			SORT1	0.02786936560658269	0.02786936560658269	0.0
FOLD_0	intact_T			PSRC1	0.089787766591396	0.089787766591396	0.0
FOLD_0	intact_T			CELSR2	0.014148391430540641	0.014148391430540641	0.0
FOLD_0	H1	-178.0	-167.0	SORT1	0.02758573570629264	0.02786936560658269	0.00028362990029005136
FOLD_0	H1	-178.0	-167.0	PSRC1	0.0831179081157159	0.089787766591396	0.006669858475680107
FOLD_0	H1	-178.0	-167.0	CELSR2	0.013123662437209187	0.014148391430540641	0.0010247289933314543
FOLD_0	H2	-152.0	-141.0	SORT1	0.027774509543241545	0.02786936560658269	9.485606334114563e-05
FOLD_0	H2	-152.0	-141.0	PSRC1	0.08540381721424121	0.089787766591396	0.004383949377154792
FOLD_0	H2	-152.0	-141.0	CELSR2	0.014488793739346497	0.014148391430540641	-0.00034040230880585595
FOLD_0	H3	-87.0	-76.0	SORT1	0.028020026349136456	0.02786936560658269	-0.00015066074255376538
FOLD_0	H3	-87.0	-76.0	PSRC1	0.09517588795974415	0.089787766591396	-0.005388121368348139
FOLD_0	H3	-87.0	-76.0	CELSR2	0.015333345977850658	0.014148391430540641	-0.001184954547310017
FOLD_0	H4	-61.0	-50.0	SORT1	0.02790134646942603	0.02786936560658269	-3.198086284333934e-05
FOLD_0	H4	-61.0	-50.0	PSRC1	0.1029334491385546	0.089787766591396	-0.013145682547158588
FOLD_0	H4	-61.0	-50.0	CELSR2	0.014703296257894774	0.014148391430540641	-0.0005549048273541333
FOLD_0	H5	-37.0	-26.0	SORT1	0.027458269634907675	0.02786936560658269	0.00041109597167501497
FOLD_0	H5	-37.0	-26.0	PSRC1	0.0703563208551414	0.089787766591396	0.019431445736254604
FOLD_0	H5	-37.0	-26.0	CELSR2	0.011454861577049967	0.014148391430540641	0.002693529853490674
FOLD_0	C/EBP	-1.0	8.0	SORT1	0.02733307876599726	0.02786936560658269	0.0005362868405854315
FOLD_0	C/EBP	-1.0	8.0	PSRC1	0.06862191979332705	0.089787766591396	0.02116584679806896
FOLD_0	C/EBP	-1.0	8.0	CELSR2	0.010908002140253253	0.014148391430540641	0.0032403892902873876
FOLD_0	H6	50.0	61.0	SORT1	0.027918665030991188	0.02786936560658269	-4.9299424408497106e-05
FOLD_0	H6	50.0	61.0	PSRC1	0.08422732285576086	0.089787766591396	0.005560443735635148
FOLD_0	H6	50.0	61.0	CELSR2	0.012445589193878278	0.014148391430540641	0.001702802236662363
