model	component	mean_retention	sem_retention	median_retention	n_seeds
ALL_FOLDS	native	1.0	0.0	1.0	8
ALL_FOLDS	full_315	0.0140253297413023	0.0023056427674231963	0.013270977214618517	8
ALL_FOLDS	H1	0.8894386582180301	0.007815328162442393	0.8832211423376419	8
ALL_FOLDS	H2	0.8911288453426285	0.01906808601878677	0.8627195058788522	8
ALL_FOLDS	H3	0.7790545546762977	0.03574230962414236	0.7716753744119056	8
ALL_FOLDS	H4	0.9989667431145439	0.05473028877681788	1.0302920961003668	8
ALL_FOLDS	H5	0.2938948490729199	0.024540663404198644	0.28876382622786595	8
ALL_FOLDS	H6	0.9073029923467097	0.033394270686193835	0.8911162400527384	8
ALL_FOLDS	C/EBP	0.055989650874778106	0.018246468928957066	0.043443403179486466	8
ALL_FOLDS	upstream_arm	0.023273231760820533	0.007145166721127115	0.014602974354737433	8
ALL_FOLDS	downstream_arm	0.6582787029400173	0.1127813935066411	0.6574662776354465	8
ALL_FOLDS	both_arms	0.021086081707482635	0.011836595176379356	0.009194058395617283	8
