gene,upstream_bp,downstream_bp,window_length_bp,outside_n_seeds,outside_mean_retention,outside_median_retention,outside_sd_retention,outside_min_retention,outside_max_retention,outside_fraction_seeds_ge_0p7,inside_n_seeds,inside_mean_retention,inside_median_retention,inside_sd_retention,inside_min_retention,inside_max_retention,inside_fraction_seeds_ge_0p7,contains_full_minor_motif,passes_mean_criterion,passes_median_criterion
CELSR2,175.0,105.0,281.0,8,0.3592805604140069,0.3471714062767184,0.0800276248425786,0.25784702013421834,0.4609464130599932,0.0,8,0.008888464061773784,0.0073191921283297726,0.008886011836176917,3.19517799649011e-05,0.02776320189584845,0.0,True,False,False
CELSR2,175.0,106.0,282.0,8,0.3668568099387018,0.35112314189129956,0.07730523192651984,0.2669735050175065,0.4609464130599932,0.0,8,0.01021817520307344,0.009084638587964638,0.007465613948904349,9.684178304298144e-05,0.022362717394565704,0.0,True,False,False
CELSR2,175.0,107.0,283.0,8,0.38662831396561503,0.38346891671770067,0.0877272392532904,0.26481033661235237,0.4885212904876224,0.0,8,0.011514685488525904,0.009053001238671522,0.007058225894107903,0.00391658566072096,0.024734743787442514,0.0,True,False,False
CELSR2,175.0,108.0,284.0,8,0.36310657267037766,0.34553761861296256,0.07500011443886502,0.26481033661235237,0.4743118094547255,0.0,8,0.012029929053579955,0.01200379267976541,0.007581917382636765,0.001738142177537137,0.024734743787442514,0.0,True,False,False
CELSR2,175.0,109.0,285.0,8,0.3418533569755746,0.314864184803362,0.08029272028407237,0.23275690271924818,0.44360619464539736,0.0,8,0.011921040456688133,0.010699030393402205,0.005332851898769813,0.0057239177672408995,0.02055630628339932,0.0,True,False,False
CELSR2,175.0,110.0,286.0,8,0.34131071643518135,0.32588421023003167,0.0707342589383473,0.23275690271924818,0.44301869506017777,0.0,8,0.00930246301240226,0.008220236379204333,0.006933307942378074,0.002283254251485562,0.023075356723592733,0.0,True,False,False
CELSR2,175.0,111.0,287.0,8,0.33890648097337195,0.31640481508883256,0.06962671863638888,0.24240577713313247,0.43404922101591503,0.0,8,0.011127976001596521,0.009771503133655058,0.008353174535812052,0.002478059483805341,0.02676522291517672,0.0,True,False,False
CELSR2,175.0,112.0,288.0,8,0.34054026205370663,0.32907224273553753,0.07481090911483286,0.22793203257211783,0.4606822029954469,0.0,8,0.015380453102358497,0.017433810593935287,0.009263660304461487,0.0013666198482768705,0.02676522291517672,0.0,True,False,False
CELSR2,175.0,113.0,289.0,8,0.35159249462151315,0.3300708377603977,0.06902241283742382,0.2591671192222535,0.438583309079927,0.0,8,0.013915325817862551,0.0075766063345975385,0.014654520976676811,0.0010387142404897035,0.04121887305817272,0.0,True,False,False
CELSR2,175.0,114.0,290.0,8,0.3523713736756109,0.340547257378609,0.07069419776582042,0.24509952452773884,0.48580326408439617,0.0,8,0.011549034784684832,0.007964014166038674,0.00957347474185398,8.920059188991927e-05,0.026979047285418657,0.0,True,False,False
CELSR2,175.0,115.0,291.0,8,0.3814537407062262,0.340547257378609,0.12024411231539921,0.2663862589767396,0.6494635844264239,0.0,8,0.010134035568544301,0.00816254151819659,0.008430821293086388,8.920059188991927e-05,0.026979047285418657,0.0,True,False,False
CELSR2,175.0,116.0,292.0,8,0.35547882044217005,0.3295978328165502,0.07439368734828633,0.28270340622314305,0.4915775443283405,0.0,8,0.011876812524012934,0.009469773718340766,0.009989409696290691,0.001389710916564185,0.026979047285418657,0.0,True,False,False
CELSR2,175.0,117.0,293.0,8,0.3505859958357555,0.31725825636840455,0.07706236648839952,0.27539774260492556,0.4891577687093518,0.0,8,0.012615979159385227,0.011566949213488806,0.006158710491138277,0.005450783545699706,0.022919383813925984,0.0,True,False,False
CELSR2,175.0,118.0,294.0,8,0.33287364529800945,0.31311414698153195,0.07219569824560373,0.24964887381699083,0.4652623010755987,0.0,8,0.009645788474178366,0.005943434250209593,0.007973152910738137,0.0034413618955513006,0.022839743128238228,0.0,True,False,False
CELSR2,175.0,119.0,295.0,8,0.3343377914845047,0.3266007909520571,0.07253472521678692,0.24964887381699083,0.4652623010755987,0.0,8,0.00720831170051801,0.006113665865826878,0.006976359385076266,0.00044033053006562747,0.022078576750796313,0.0,True,False,False
CELSR2,175.0,120.0,296.0,8,0.3404888315263898,0.3266007909520571,0.06805342808845535,0.2510456194897166,0.4652623010755987,0.0,8,0.0068637973633841115,0.006113665865826878,0.005178562741021291,0.0005013606742921,0.015786981790958922,0.0,True,False,False
CELSR2,175.0,121.0,297.0,8,0.3529746915093624,0.35894307455401253,0.06452160195311883,0.24969102096670265,0.4652623010755987,0.0,8,0.0067740998235223185,0.0031902984770791386,0.010481744885335204,0.0014205034709861206,0.03247256990325622,0.0,True,False,False
CELSR2,175.0,122.0,298.0,8,0.3437529120251786,0.3301473463531715,0.06932649649205111,0.2435356716041619,0.478197288657199,0.0,8,0.01173871751788116,0.01022373286036222,0.009216540056913755,9.315670797113505e-05,0.028130956399511606,0.0,True,False,False
CELSR2,175.0,123.0,299.0,8,0.3460253880993757,0.3371249188569825,0.0696534605153861,0.23976720217304598,0.465822459939386,0.0,8,0.012387621598643001,0.010783503353947926,0.008456909963593983,0.002799347562454637,0.028130956399511606,0.0,True,False,False
CELSR2,175.0,124.0,300.0,8,0.34436327554101176,0.32171114968600684,0.06606292590024104,0.2809425208328684,0.47130308024694423,0.0,8,0.009921761308897825,0.007368623496622935,0.008693718045166233,0.0018528327726219601,0.02612116106003839,0.0,True,False,False
CELSR2,175.0,125.0,301.0,8,0.3544294657289534,0.3370478101868897,0.06626882252651793,0.28263874325738986,0.48176675517517364,0.0,8,0.008439101029153274,0.007834533042823092,0.006979488600937436,0.0011397391552807445,0.02253140168790805,0.0,True,False,False
CELSR2,175.0,126.0,302.0,8,0.35872164255862177,0.34851815755443993,0.06550831255627271,0.28263874325738986,0.4680883882626179,0.0,8,0.011214037672087562,0.010802789503314906,0.00881794803838757,0.0011397391552807445,0.02253140168790805,0.0,True,False,False
CELSR2,175.0,127.0,303.0,8,0.37400805513167656,0.35097472608638247,0.06581425164582601,0.31534696913339383,0.49556840563856774,0.0,8,0.010231693129247895,0.003920213118826854,0.012469545940256468,0.001874484207943695,0.03483470160385447,0.0,True,False,False
CELSR2,175.0,128.0,304.0,8,0.3815289919997324,0.3553598262903037,0.07232218899246677,0.296219035603768,0.5158098510244215,0.0,8,0.015011804283617826,0.012799151258230492,0.012096454838603866,0.0016693224524134145,0.03483470160385447,0.0,True,False,False
